,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Position Category,Class
2282,Alex Ferrari,ITA,DF,"['Sampdoria', 'Cremonese']",Serie A,28,1994,17,15,1241,9.6,0,0,0,0.0,0,0,10,0.0,0.0,0.0,39,47.5,80,779,251,11.9,13.1,90.5,22.9,25.2,90.9,4.27,6.98,61.2,0,0,2,0.1,0.0,2.6,47.5,45.1,2.4,2.19,0.0,0.31,0.42,0.21,0.0,0.0,0.0,0.0,39,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,2,0,0,1,1,70,0,1,0,1.15,2,4,3,0.0,58.3,5.31,28.8,27.6,2.6,0.52,58.3,0,0,50.0,0.31,50.0,32,149,66,0.73,0,0,0,0,32.1,0.31,0,0,0.0,1,0,0,0,0.52,0,0.1,0.0,6,1,1,58.3,DF,0
2283,Angelo Fulgini,FRA,DF,"['Lens', 'Mainz 05']",Ligue 1,26,1996,17,5,544,0.2,0,0,0,0.0,0,0,9,0.0,0.0,0.0,46,75.0,79,767,183,25.0,30.0,83.3,25.0,25.0,100.0,10.0,15.0,66.7,0,0,3,0.0,0.0,20.0,75.0,70.0,5.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,5.0,0.0,46,0,2,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,22,0,0,0,0.0,2,3,0,0.0,85.0,0.0,5.0,40.0,40.0,0.0,85.0,2,0,0.0,0.0,0.0,42,178,65,0.0,0,0,3,0,45.0,0.0,0,0,0.0,0,1,0,5,0.0,0,0.0,0.0,5,0,3,0.0,DF,0
2284,Ignatius Ganago,CMR,FWMF,"['Nantes', 'Lens']",Ligue 1,23,1999,20,8,890,9.2,3,1,0,37.5,0,0,18,0.0,0.0,0.0,13,20.2,77,246,70,7.39,10.1,73.1,3.91,6.41,61.0,0.98,2.07,47.4,0,0,1,0.33,0.0,1.3,20.2,19.1,1.09,0.0,0.11,0.22,0.98,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,16,0,0,0,0.65,0,0,0,0.0,28.7,0.54,2.61,13.9,12.5,4.46,28.7,1,0,18.2,0.76,63.6,19,142,36,0.98,0,0,2,2,20.0,5.65,0,0,0.0,2,1,0,0,0.33,0,0.0,0.0,5,3,4,47.6,FW,2
2285,Morgan Gibbs-White,ENG,FWMF,"['Wolves', ""Nott'ham Forest""]",Premier League,23,2000,21,20,1736,2.0,2,1,0,33.3,0,0,15,0.0,0.0,0.0,29,47.5,70,449,148,23.5,29.0,81.0,8.5,10.5,81.0,3.5,4.5,77.8,0,1,3,0.5,0.0,6.0,47.5,44.0,3.5,1.0,0.0,0.5,4.0,0.5,2.0,0.0,1.5,0.0,29,0,1,3,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,56,0,0,0,1.0,0,1,1,0.0,59.5,0.5,9.0,26.5,24.5,2.0,59.5,3,1,25.0,2.5,62.5,28,135,64,2.0,1,0,2,1,41.0,6.0,0,0,0.0,1,1,0,4,0.5,0,0.0,0.0,5,1,2,28.6,FW,2
2286,Nicolás González,ARG,FWMF,"['Fiorentina', 'Valencia']",Serie A,24,1998,24,10,1045,5.0,4,2,0,36.8,0,0,16,0.0,0.2,0.2,40,35.6,78,680,163,10.6,14.6,72.6,10.2,12.4,82.3,2.2,4.2,52.4,0,1,5,1.6,0.2,3.6,35.6,33.8,1.4,1.0,0.0,0.6,2.6,0.4,0.0,0.0,0.0,0.0,40,0,1,3,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,20,0,0,0,0.2,0,1,0,0.0,52.8,0.4,2.8,24.0,26.6,5.8,52.6,4,1,28.6,3.2,57.1,39,223,95,2.6,2,0,2,1,41.2,9.8,0,0,0.0,1,2,0,1,0.4,0,0.0,0.0,5,2,1,60.9,FW,2
2287,Anthony Gordon,ENG,MFFW,"['Newcastle Utd', 'Everton']",Premier League,21,2001,18,12,1172,0.9,3,2,0,0.0,0,0,16,0.0,0.0,0.0,22,35.6,75,279,75,23.3,26.7,87.5,5.56,5.56,100.0,0.0,2.22,0.0,0,1,2,0.0,0.0,2.22,35.6,34.4,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,3,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,1,0,0,0,2,34,1,1,0,1.11,0,2,0,0.0,50.0,0.0,2.22,20.0,28.9,7.78,50.0,2,1,50.0,0.0,0.0,25,202,96,5.56,3,1,3,1,42.2,10.0,0,0,0.0,1,2,0,1,1.11,0,0.0,0.0,3,0,2,0.0,MF,2
2288,Amine Gouiri,FRA,FWMF,"['Nice', 'Rennes']",Ligue 1,22,2000,20,20,1582,2.5,9,2,1,40.0,0,0,13,0.0,0.0,0.0,20,29.6,75,282,44,12.0,14.0,85.7,6.8,8.8,77.3,0.8,2.0,40.0,0,1,0,0.4,0.0,0.4,29.6,26.4,2.4,0.4,0.0,0.0,2.4,0.0,1.2,1.2,0.0,0.0,20,0,1,3,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,10,0,0,0,0.4,0,0,0,0.0,39.6,1.2,4.8,14.0,20.8,2.8,39.6,1,0,0.0,0.8,66.7,27,169,64,3.2,1,0,2,1,31.6,7.2,0,0,0.0,1,0,0,1,0.4,0,0.0,0.0,2,1,1,60.0,FW,1
2289,Andrew Gravillon,GLP,DF,"['Torino', 'Reims']",Serie A,25,1998,14,12,1049,0.1,0,0,0,0.0,0,0,9,0.0,0.0,0.0,59,100.0,82,1048,317,40.0,40.0,100.0,50.0,50.0,100.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,100.0,90.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,59,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,30,0,0,0,0.0,0,1,1,0.0,100.0,0.0,40.0,60.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,36,216,96,0.0,0,0,0,5,60.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,7,0,0,0.0,DF,2
2290,Sergi Guardiola,ESP,FW,"['Valladolid', 'Cádiz']",La Liga,31,1991,16,9,598,5.6,1,3,1,27.3,0,0,17,0.0,0.0,0.0,18,20.9,73,217,38,8.39,11.6,72.3,3.21,4.64,69.2,0.54,0.89,60.0,0,1,0,0.18,0.18,0.54,20.9,19.3,1.43,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,18,0,0,2,2,0,0,0,0,0.18,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,25,0,0,0,1.07,0,1,1,0.0,34.1,1.25,4.82,16.3,13.2,3.04,34.1,1,0,0.0,1.07,85.7,19,73,29,1.25,0,0,2,1,22.3,3.57,0,0,0.0,1,1,0,0,1.25,0,0.0,0.0,3,1,1,39.1,FW,2
2291,Pape Gueye,SEN,MF,"['Sevilla', 'Marseille']",La Liga,24,1999,16,6,664,1.9,1,1,0,0.0,0,0,16,0.0,0.0,0.0,40,37.9,84,745,197,14.7,16.3,90.3,12.1,15.3,79.3,4.74,5.79,81.8,0,0,3,0.0,0.0,3.16,37.9,37.4,0.53,0.53,0.53,1.05,0.53,0.0,0.0,0.0,0.0,0.0,40,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,1,0,1,2,56,0,1,0,1.58,1,4,0,0.0,49.5,2.63,10.5,27.4,11.6,1.58,49.5,1,0,100.0,0.0,0.0,45,227,114,0.0,0,0,1,1,37.4,2.63,0,0,0.0,1,3,0,0,3.16,0,0.0,0.0,4,1,0,50.0,MF,2
